"","204107_at","205833_s_at","213033_s_at","206686_at","204886_at","222031_at","219051_x_at","208711_s_at","208712_at","201504_s_at","209686_at","201656_at","219850_s_at","211363_s_at","219654_at","211466_at","201438_at","205478_at","201755_at","216685_s_at","204775_at","205240_at","202273_at","202310_s_at","220624_s_at","210683_at","204351_at","219970_at","1438_at","209290_s_at","209644_x_at","38241_at","205225_at","211233_x_at","211234_x_at","211235_s_at","211627_x_at","215551_at","215552_s_at","217163_at","217190_x_at","219197_s_at","grupos"
"GSM615135",6.83551776850337,7.30918234091259,6.6451845507048,6.73826340216222,4.75553844754509,4.92410567210636,8.8825108317703,7.07037781792752,7.47139480910776,7.91011435032079,5.78910017948232,6.94662632764244,7.90712938730674,4.96235360887302,6.13625043668161,5.07595034825116,12.3092898661049,6.81990232425499,6.84631205478033,5.12856945752791,7.28069263776986,7.57498389255909,8.65043872092085,13.2680952998654,5.97039366239256,4.37948532175033,10.1761124621181,4.79171012275207,7.49738645249045,9.99046027852771,7.84021446290098,5.20458626533598,6.94636732550116,7.54712722908475,7.73571597992246,7.2615408296332,4.94835279820368,5.94901227127013,5.56648536188137,6.24042943277978,5.44514829764262,8.73006074195664,"RD"
"GSM615136",6.66396964909041,7.06879992870258,7.06231739817643,7.01940039719775,4.86020640929295,4.87208059381283,6.73776012511203,5.88129269617598,5.61720557770984,8.07742839616667,5.68905386368207,8.51234925434052,5.02069291849341,5.87276421009161,7.30976522775361,6.10731266081919,10.1154591485376,6.58542485015943,7.58769456786632,6.36995937297399,8.6273944255824,8.00907551646166,8.00139941373092,11.7341969922131,5.85372444674996,4.62764119002991,8.43157190413845,4.85918580938393,7.92592906829119,10.7486090087931,10.6153198637508,4.71311532678095,6.44787808094106,7.35737830948566,7.55081892913807,6.85489509201843,4.99908662619045,6.32090809358722,5.61586861156885,5.75760664897495,5.28468000945431,6.53505969813715,"RD"
"GSM615145",6.79146091853839,7.11143164195364,6.61283264367894,6.98714448858807,4.85053734282713,4.89069880923689,7.62953422347887,8.29271894446021,9.26302187315943,7.6231441942526,5.77349173283224,6.58347567292556,8.84465189925316,5.47588614078088,6.64033708116387,5.36722221918271,10.7585115913353,6.4048275107042,6.45293773640583,5.64228804083856,7.22651956860396,7.31137887020721,7.62551991824099,11.9002315956952,6.17303538995854,4.42578132145294,13.8811260555395,4.79593459511803,7.83660145326558,9.91973668962207,11.037939295654,5.04807391573606,7.12540050507745,7.66645866023522,7.63257487798379,6.99673374143162,5.01872003512931,5.94847906588908,5.88057809239458,6.06755036587908,5.23184176448925,6.96155395789739,"RD"
"GSM615148",6.3194946577603,7.58165592607884,6.81845950253744,6.97502298675604,4.69902477049658,5.09155083016122,7.07364184310805,5.8911525710773,6.71907978140685,8.1496158878366,6.16384873386428,7.68818154692286,7.07616610391987,5.20424397537543,6.4524038274378,5.09714036062166,12.3371762217674,6.59051449117939,6.87356273521881,5.34345132149997,7.27426291662159,7.39955386836289,8.20231953895184,12.7683043543984,6.35895678976678,4.48733667643574,9.82771358957173,5.08500353263085,7.87351189958381,10.4108635027338,8.60592939131638,5.11499022837165,7.94669627866804,7.71271129906248,7.81670012947311,7.29419128958865,5.0195946458713,6.37008580829913,5.69800154581341,6.0365364409721,5.32467940542757,7.20103602892715,"RD"
"GSM615149",6.9149549389499,6.95634786724863,8.56708194695364,6.58397613039088,4.79923857361446,4.79191445567381,6.72647671718014,9.35088532078571,10.1527212765924,7.20778211676158,5.64330477081147,7.61035085298314,5.15437291878316,5.54040422617976,5.79115320200074,8.00265653279513,12.0651143531407,8.72173780385884,6.97782950574849,6.00485895740059,7.04911484966801,7.74488133595417,8.27556950346306,13.183358090423,6.88057515219366,4.67631516164693,9.62197742658917,4.76635101343026,8.77019961533591,12.4998399980779,7.99930678616812,4.98489333392378,6.34936892153421,7.17028335797108,7.40250236810092,6.78281867728957,4.94116761854066,6.30836330593956,5.62104371085142,5.72901077397434,5.5791369675451,7.24249920728799,"RD"
"GSM615151",6.81067157010811,7.35952022438591,7.00924626972308,7.09346935897176,4.78480985648653,4.98824767879531,6.94602446171178,7.04290480035874,7.86870182114909,8.42841881232829,6.07869878666241,6.61223726776812,5.10939354845369,5.34117382108493,7.91070520309897,5.23965248579276,10.4159288670089,6.69865575293284,8.09771327400163,5.43331146225913,8.18339197658773,8.00778218876255,8.05321574955487,11.2836904621958,6.27322877037572,4.43471674267862,10.7997301507875,4.96862168766218,9.47882056865689,9.93946254724409,9.98949864850788,5.01169872522354,6.61072094808458,7.50991063038225,7.41075693267562,7.02484970566292,4.98652404271556,5.72793820404751,5.59633759600459,5.83006168530567,5.49172940595211,6.79389747736807,"RD"
"GSM615156",6.72647135397784,7.06046807615016,8.03115404068295,6.89480185751965,4.67034579075536,4.94179828827999,7.51912116369978,6.44876950799443,6.33981403654302,9.13735605687971,7.3967677437255,9.34201817783245,6.95730778011946,5.55880470732717,7.20595358875646,5.13674859177703,12.0083786545093,8.60859418855423,8.62201822920746,6.01737969929752,7.93920698307823,8.63472706385244,8.76582389561185,13.031053872059,8.73957159509253,4.75608905077867,10.3675340769696,4.71078264200393,10.124965612557,11.0771663714631,10.6479311047887,5.48357854743595,6.46536599663896,7.18500740181759,7.48877568723505,6.72913170641669,4.9512509653284,6.14784415052239,5.59160292237576,5.95914504738089,5.60623132394585,6.95762090823686,"RD"
"GSM615160",6.93420486585725,6.91784073468177,6.98549494478096,6.82869418065774,4.65188221541446,4.97080462525196,7.08621587576133,6.58838663190233,6.92199602327241,8.0544519982737,6.10747020817102,6.6420940536193,5.053807811916,4.9726414985476,8.11137806496015,5.1449964820047,11.9880618113427,6.42867529546779,7.12654368033726,5.38258256218636,6.99177871868767,7.73278126956533,8.29778073998901,12.8814471800196,7.26246936938765,5.95200509687975,10.0795690442871,5.01255714785607,8.11444902793596,11.0884134693135,11.1529247987863,5.25769889147239,6.59876588917463,7.40440976778177,7.36489430373423,6.87955401859571,5.04971574174771,6.12764485677575,5.46146735076029,5.95860740090875,5.33123711311931,6.7023566318062,"RD"
"GSM615169",6.77247494585634,7.08869478153618,6.79523402793424,7.02768858897646,4.65387985597086,4.90628843072871,6.9679494117991,6.66476893356124,7.66345681677104,8.05430753575695,5.87273920256838,6.7407395348023,5.49025446142636,5.11969955219365,6.07358617852846,4.9688089373499,12.4805053144889,6.7340371621353,6.7099771684848,5.36182727452956,6.80610706889305,7.39188424066097,8.39364811626631,12.621384915774,5.8268193851957,4.35066827164278,6.30259462553653,5.12246789641871,7.9756857893299,10.2405457131397,9.00719817470706,6.20126210594206,9.30791501428329,7.61601539493666,7.6517197143914,7.10734562546039,5.02008430722295,6.54535186114064,5.65174577608775,5.96051109147192,5.3801032898002,8.06081227202989,"RD"
"GSM615182",7.05367490885093,7.7935630848634,7.02640159754131,7.53262056332979,4.69220632084085,4.84331862991147,7.86125367893822,7.70218686376935,8.33368890293771,8.99104739937935,5.88280407428548,7.50259955164366,9.55625210586868,5.22503021348027,5.7755940330377,4.78768054685885,9.69669044358031,6.4868254760955,7.09003271622053,5.59194596355363,7.0331205638661,7.79525786005968,7.2124294194596,10.4939760697179,6.33023683602608,4.50103780854901,11.8311787287595,4.89444076074885,7.13352538295023,8.65912394823133,8.12758102721679,4.90356222575551,7.15574729835453,7.37535987495778,7.31045652975175,6.86501380192329,5.15859938507891,6.04465777599997,5.83089987787444,6.08581158422288,5.56205231966792,10.4960907765011,"RD"
"GSM615185",7.29770000954367,7.76643859834755,6.86890048682468,7.74691718716914,4.77108989835629,4.900005180287,6.92869887305145,6.6953450341361,7.36953170211547,8.1860492615787,6.35730096892297,6.62084493229831,6.52732170798488,5.30313579833171,7.48606340752835,4.74794818015006,7.8533326333836,7.21158260545529,6.81029172153153,5.57696486860718,7.13067184000376,7.26688569928544,7.62600212216405,6.52167701841932,7.45402756428931,4.40763265393166,10.272617481251,5.0254155214204,8.22529482842528,7.85400820817404,9.56231732375065,5.52897221434581,6.58551925694454,7.91638151078645,7.99075077974887,7.07580475939607,5.0568803878354,5.97381244438024,5.80181551214586,6.28905869424593,5.35392426345396,6.72383979048945,"RD"
"GSM615188",6.66043322104489,7.08800906445396,6.20940050767653,6.98408888129199,5.08662658542164,4.86961924251772,8.57876777845742,8.32223760308373,7.99951118882019,8.29847527469178,5.36530868443223,6.56599125573418,7.13374504164676,5.1056985946177,5.81911000136514,4.87226827859535,8.78210117183596,6.86987608889273,6.97940108274465,5.57524698097687,7.54671461471378,6.8705039098647,7.60048695139341,9.3394073727556,5.63207193971845,4.56476412523393,10.1839785773488,4.87545936343044,7.64050861947235,7.24344522563813,7.7974074725429,5.98318454244493,11.4611533223984,7.79066458425335,7.9580689042125,7.68472291708398,4.93577016977129,6.04415301210057,6.4067046393444,5.93628835374881,5.54264223796211,11.1890206966464,"RD"
"GSM615190",7.13786988721563,7.28156200284885,7.63857875584294,7.23373146991084,4.79644482997504,4.86399795683602,7.11766276255342,7.21055809238693,8.4067313395295,7.94659141972893,6.21056900697811,6.93475939112367,6.89879555451046,5.0514415220967,6.5297621624252,5.15437477971995,10.2190771678048,6.75102082286301,7.76668085935581,5.46652912907159,7.56489469108676,7.95093993444848,7.86148589037614,11.0323715801242,7.26041980900669,4.66584812909857,8.93428610336824,4.93212008398463,9.57151467183967,9.9721496596222,9.90395455016074,6.28919923833845,6.33281862938485,7.33435738545685,7.51068903937786,6.8077050653771,5.02602767387614,5.93691459429101,5.58842754276487,5.76270065413129,5.51088057052241,6.67194701757873,"RD"
"GSM615195",7.3003280160536,7.11994102176175,7.03850127907215,7.52429220239675,4.83640238698948,4.9024782847102,6.51071319135818,6.02093549694108,6.26067694487457,8.225644537324,5.96534226805014,6.68927992948423,7.07892574610786,5.36172183220183,6.82133143580305,5.18422759974023,9.97885016442985,6.29980878332417,7.51854536681063,5.95592741949347,7.07525166123707,8.26388773931041,7.1480193853793,9.94322452808055,7.87580439447301,4.71778668959183,9.41248803595883,5.0402633640929,8.14853065825182,9.83096187200572,10.2507285281068,5.26813683846248,7.2392590176721,7.61800789942208,7.46649768405459,7.00792656641422,5.07059232813083,6.30363956929203,5.80206138553809,5.84116263004734,5.42956481638248,6.50091579584549,"RD"
